storm_id,year,month,month_name,name,start_date,end_date,duration_hours,max_wind_kt,max_wind_mph,min_pressure_mb,category_num,category,is_hurricane,is_major,landfalls,observations,narrative,is_retired
AL021881,1881,8,August,UNNAMED,1881-08-11,1881-08-14,78,40,46,,0,TS,0,0,1,15,"The unnamed storm of 1881 (AL021881) formed in the Gulf of Mexico on August 11, 1881. The system tracked northwestward during its lifetime. It reached peak intensity on August 11 with maximum sustained winds of 46 mph (40 kt). It made landfall near the northern Gulf Coast on August 13 with winds of 46 mph. The system persisted for approximately 3 days. The storm was tracked across 15 observations in the HURDAT2 database. The system dissipated over the open Atlantic on August 14.",0
AL041881,1881,8,August,UNNAMED,1881-08-16,1881-08-21,138,70,80,,1,Cat 1,1,0,0,24,"The unnamed storm of 1881 (AL041881) formed in the Gulf of Mexico on August 16, 1881. The system tracked northeastward during its lifetime. Over its lifetime, the storm traversed the Gulf of Mexico, the western Atlantic, the western Atlantic off the U.S. East Coast, the open Atlantic. It reached peak intensity as a Category 1 hurricane on August 19 with maximum sustained winds of 80 mph (70 kt). The system persisted for approximately 6 days. The storm was tracked across 24 observations in the HURDAT2 database. The system dissipated over the open Atlantic on August 21.",0
AL051881,1881,8,August,UNNAMED,1881-08-21,1881-08-29,210,90,103,970,2,Cat 2,1,0,1,37,"The unnamed storm of 1881 (AL051881) formed in the central Atlantic on August 21, 1881. The system tracked northwestward during its lifetime. Over its lifetime, the storm traversed the central Atlantic, the Caribbean Sea, the western Atlantic, the western Atlantic off the U.S. East Coast. It reached peak intensity as a Category 2 hurricane on August 26 with maximum sustained winds of 103 mph (90 kt). The minimum central pressure was recorded at 970 mb. It made landfall near the southeastern U.S. coast on August 28 as a Category 2 hurricane with winds of 103 mph. The system persisted for approximately 9 days. The storm was tracked across 37 observations in the HURDAT2 database. The system dissipated over the open Atlantic on August 29.",0
AL061881,1881,9,September,UNNAMED,1881-09-07,1881-09-11,114,90,103,975,2,Cat 2,1,0,1,21,"The unnamed storm of 1881 (AL061881) formed in the western Atlantic on September 7, 1881. It initially tracked westward through the Atlantic before recurving northeastward. It reached peak intensity as a Category 2 hurricane on September 9 with maximum sustained winds of 103 mph (90 kt). The minimum central pressure was recorded at 975 mb. It made landfall near the southeastern U.S. coast on September 9 as a Category 2 hurricane with winds of 103 mph. The system persisted for approximately 5 days. The storm was tracked across 21 observations in the HURDAT2 database. The system dissipated over the western Atlantic off the U.S. East Coast on September 11.",0
AL071881,1881,9,September,UNNAMED,1881-09-18,1881-09-24,162,60,69,,0,TS,0,0,0,28,"The unnamed storm of 1881 (AL071881) formed in the western Atlantic off the U.S. East Coast on September 18, 1881. The system tracked eastward during its lifetime. It reached peak intensity on September 19 with maximum sustained winds of 69 mph (60 kt). The system persisted for approximately 7 days. The storm was tracked across 28 observations in the HURDAT2 database. The system dissipated over the open Atlantic on September 24.",0
AL011882,1882,8,August,UNNAMED,1882-08-24,1882-08-25,24,70,80,,1,Cat 1,1,0,0,5,"The unnamed storm of 1882 (AL011882) formed in the open Atlantic on August 24, 1882. The system tracked northward during its lifetime. It reached peak intensity as a Category 1 hurricane on August 24 with maximum sustained winds of 80 mph (70 kt). The system persisted for approximately 1 day. The storm was tracked across 5 observations in the HURDAT2 database. The system dissipated over the open Atlantic on August 25.",0
AL021882,1882,9,September,UNNAMED,1882-09-02,1882-09-13,270,110,126,949,3,Cat 3,1,1,1,47,"The unnamed storm of 1882 (AL021882) formed in the Caribbean Sea on September 2, 1882. It initially tracked westward through the Atlantic before recurving northeastward. Over its lifetime, the storm traversed the Caribbean Sea, the western Atlantic, the Gulf of Mexico, the open Atlantic. The storm covered a vast area, spanning approximately 27 degrees of latitude. It reached peak intensity as a Category 3 hurricane on September 10 with maximum sustained winds of 126 mph (110 kt). The minimum central pressure was recorded at 949 mb. The system first reached hurricane strength on September 3 and continued to intensify over the following days. It made landfall near the northern Gulf Coast on September 10 as a Category 3 hurricane with winds of 126 mph. The system eventually weakened and transitioned into an extratropical cyclone. The system persisted for approximately 11 days. With a duration of approximately 11 days, it was a notably long-lived storm. The storm was tracked across 47 observations in the HURDAT2 database. The system dissipated over the open Atlantic on September 13.",0
AL031882,1882,9,September,UNNAMED,1882-09-14,1882-09-16,48,50,57,,0,TS,0,0,1,10,"The unnamed storm of 1882 (AL031882) formed in the Gulf of Mexico on September 14, 1882. The system tracked northwestward during its lifetime. It reached peak intensity on September 15 with maximum sustained winds of 57 mph (50 kt). It made landfall near the northern Gulf Coast on September 15 with winds of 57 mph. The system persisted for approximately 2 days. The storm was tracked across 10 observations in the HURDAT2 database. The system dissipated over the open Atlantic on September 16.",0
AL041882,1882,9,September,UNNAMED,1882-09-21,1882-09-24,78,50,57,1005,0,TS,0,0,2,16,"The unnamed storm of 1882 (AL041882) formed in the western Atlantic off the U.S. East Coast on September 21, 1882. The system tracked northward during its lifetime. It reached peak intensity on September 22 with maximum sustained winds of 57 mph (50 kt). The minimum central pressure was recorded at 1005 mb. It made landfall near the southeastern U.S. coast on September 22 with winds of 57 mph. It made landfall near the northeastern U.S. coast on September 24 with winds of 46 mph. The system persisted for approximately 3 days. The storm was tracked across 16 observations in the HURDAT2 database. The system dissipated over the western Atlantic off the U.S. East Coast on September 24.",0
AL051882,1882,9,September,UNNAMED,1882-09-24,1882-09-28,114,70,80,,1,Cat 1,1,0,0,20,"The unnamed storm of 1882 (AL051882) formed in the western Atlantic off the U.S. East Coast on September 24, 1882. The system tracked eastward during its lifetime. It reached peak intensity as a Category 1 hurricane on September 25 with maximum sustained winds of 80 mph (70 kt). The system persisted for approximately 5 days. The storm was tracked across 20 observations in the HURDAT2 database. The system dissipated over the open Atlantic on September 28.",0
AL061882,1882,10,October,UNNAMED,1882-10-05,1882-10-15,258,120,138,,4,Cat 4,1,1,1,45,"The unnamed storm of 1882 (AL061882) formed in the Caribbean Sea on October 5, 1882. The system tracked northeastward during its lifetime. Over its lifetime, the storm traversed the Caribbean Sea, the Gulf of Mexico, the western Atlantic off the U.S. East Coast. The storm covered a vast area, spanning approximately 24 degrees of latitude. It reached peak intensity as a Category 4 hurricane on October 9 with maximum sustained winds of 138 mph (120 kt). The storm underwent rapid intensification, with winds increasing by at least 35 mph within a 24-hour period. The system first reached hurricane strength on October 7 and continued to intensify over the following days. It made landfall near the northern Gulf Coast on October 11 as a Category 1 hurricane with winds of 80 mph. The system persisted for approximately 11 days. As a Category 4 hurricane, it possessed exceptionally dangerous winds capable of catastrophic damage. With a duration of approximately 11 days, it was a notably long-lived storm. The storm was tracked across 45 observations in the HURDAT2 database. The system dissipated over the western Atlantic off the U.S. East Coast on October 15.",0
AL011883,1883,8,August,UNNAMED,1883-08-18,1883-08-28,258,80,92,,1,Cat 1,1,0,0,44,"The unnamed storm of 1883 (AL011883) formed in the central Atlantic on August 18, 1883. It initially tracked westward through the Atlantic before recurving northeastward. Over its lifetime, the storm traversed the central Atlantic, the western Atlantic, the western Atlantic off the U.S. East Coast, the open Atlantic. It reached peak intensity as a Category 1 hurricane on August 25 with maximum sustained winds of 92 mph (80 kt). The system persisted for approximately 11 days. The storm was tracked across 44 observations in the HURDAT2 database. The system dissipated over the open Atlantic on August 28.",0
AL021883,1883,8,August,UNNAMED,1883-08-24,1883-09-02,234,110,126,963,3,Cat 3,1,1,0,40,"The unnamed storm of 1883 (AL021883) formed in the central Atlantic on August 24, 1883. It initially tracked westward through the Atlantic before recurving northeastward. Over its lifetime, the storm traversed the central Atlantic, the western Atlantic off the U.S. East Coast, the open Atlantic. The storm covered a vast area, spanning approximately 29 degrees of latitude. It reached peak intensity as a Category 3 hurricane on August 28 with maximum sustained winds of 126 mph (110 kt). The minimum central pressure was recorded at 963 mb. The system first reached hurricane strength on August 24 and continued to intensify over the following days. The storm remained over open water and did not make landfall. The system eventually weakened and transitioned into an extratropical cyclone. The system persisted for approximately 10 days. The storm was tracked across 40 observations in the HURDAT2 database. The system dissipated over the open Atlantic on September 2.",0
AL031883,1883,9,September,UNNAMED,1883-09-04,1883-09-13,222,110,126,,3,Cat 3,1,1,1,39,"The unnamed storm of 1883 (AL031883) formed in the central Atlantic on September 4, 1883. The system tracked northwestward during its lifetime. Over its lifetime, the storm traversed the central Atlantic, the Caribbean Sea, the western Atlantic, the western Atlantic off the U.S. East Coast. The storm covered a vast area, spanning approximately 25 degrees of latitude. It reached peak intensity as a Category 3 hurricane on September 4 with maximum sustained winds of 126 mph (110 kt). It made landfall near the southeastern U.S. coast on September 11 as a Category 2 hurricane with winds of 103 mph. The storm gradually weakened to a tropical depression before dissipating. The system persisted for approximately 9 days. The storm was tracked across 39 observations in the HURDAT2 database. The system dissipated over the western Atlantic off the U.S. East Coast on September 13.",0
AL041883,1883,10,October,UNNAMED,1883-10-22,1883-10-28,162,70,80,,1,Cat 1,1,0,0,28,"The unnamed storm of 1883 (AL041883) formed in the western Atlantic off the U.S. East Coast on October 22, 1883. The system tracked northeastward during its lifetime. It reached peak intensity as a Category 1 hurricane on October 27 with maximum sustained winds of 80 mph (70 kt). The system persisted for approximately 7 days. The storm was tracked across 28 observations in the HURDAT2 database. The system dissipated over the open Atlantic on October 28.",0
AL011884,1884,9,September,UNNAMED,1884-09-01,1884-09-06,138,70,80,,1,Cat 1,1,0,0,24,"The unnamed storm of 1884 (AL011884) formed in the open Atlantic on September 1, 1884. The system tracked eastward during its lifetime. It reached peak intensity as a Category 1 hurricane on September 1 with maximum sustained winds of 80 mph (70 kt). The system persisted for approximately 6 days. The storm was tracked across 24 observations in the HURDAT2 database. The system dissipated over the open Atlantic on September 6.",0
AL021884,1884,9,September,UNNAMED,1884-09-03,1884-09-16,330,100,115,957,3,Cat 3,1,1,0,56,"The unnamed storm of 1884 (AL021884) formed in the central Atlantic on September 3, 1884. It initially tracked westward through the Atlantic before recurving northeastward. The storm covered a vast area, spanning approximately 40 degrees of latitude. It reached peak intensity as a Category 3 hurricane on September 7 with maximum sustained winds of 115 mph (100 kt). The minimum central pressure was recorded at 957 mb. The system first reached hurricane strength on September 5 and continued to intensify over the following days. The storm remained over open water and did not make landfall. The system persisted for approximately 14 days. With a duration of approximately 14 days, it was a notably long-lived storm. The storm was tracked across 56 observations in the HURDAT2 database. The system dissipated over the open Atlantic on September 16.",0
AL031884,1884,9,September,UNNAMED,1884-09-10,1884-09-20,258,80,92,979,1,Cat 1,1,0,1,45,"The unnamed storm of 1884 (AL031884) formed in the western Atlantic off the U.S. East Coast on September 10, 1884. The system tracked northeastward during its lifetime. Over its lifetime, the storm traversed the western Atlantic off the U.S. East Coast, the central Atlantic, the open Atlantic. It reached peak intensity as a Category 1 hurricane on September 17 with maximum sustained winds of 92 mph (80 kt). The minimum central pressure was recorded at 979 mb. It made landfall near the southeastern U.S. coast on September 11 with winds of 46 mph. The system persisted for approximately 11 days. The storm was tracked across 45 observations in the HURDAT2 database. The system dissipated over the open Atlantic on September 20.",0
AL041884,1884,10,October,UNNAMED,1884-10-07,1884-10-17,258,90,103,,2,Cat 2,1,0,0,44,"The unnamed storm of 1884 (AL041884) formed in the Caribbean Sea on October 7, 1884. The system tracked northeastward during its lifetime. Over its lifetime, the storm traversed the Caribbean Sea, the western Atlantic, the western Atlantic off the U.S. East Coast, the central Atlantic. It reached peak intensity as a Category 2 hurricane on October 14 with maximum sustained winds of 103 mph (90 kt). The system persisted for approximately 11 days. The storm was tracked across 44 observations in the HURDAT2 database. The system dissipated over the central Atlantic on October 17.",0
AL011885,1885,8,August,UNNAMED,1885-08-07,1885-08-15,210,80,92,981,1,Cat 1,1,0,0,36,"The unnamed storm of 1885 (AL011885) formed in the central Atlantic on August 7, 1885. The system tracked northeastward during its lifetime. It reached peak intensity as a Category 1 hurricane on August 10 with maximum sustained winds of 92 mph (80 kt). The minimum central pressure was recorded at 981 mb. The system persisted for approximately 9 days. The storm was tracked across 36 observations in the HURDAT2 database. The system dissipated over the open Atlantic on August 15.",0
AL021885,1885,8,August,UNNAMED,1885-08-21,1885-08-28,186,90,103,958,2,Cat 2,1,0,1,32,"The unnamed storm of 1885 (AL021885) formed in the Caribbean Sea on August 21, 1885. It initially tracked westward through the Atlantic before recurving northeastward. Over its lifetime, the storm traversed the Caribbean Sea, the western Atlantic, the western Atlantic off the U.S. East Coast, the open Atlantic. It reached peak intensity as a Category 2 hurricane on August 24 with maximum sustained winds of 103 mph (90 kt). The minimum central pressure was recorded at 958 mb. It made landfall near the southeastern U.S. coast on August 25 as a Category 2 hurricane with winds of 103 mph. The system persisted for approximately 8 days. The storm was tracked across 32 observations in the HURDAT2 database. The system dissipated over the open Atlantic on August 28.",0
AL031885,1885,8,August,UNNAMED,1885-08-29,1885-08-31,66,50,57,,0,TS,0,0,1,13,"The unnamed storm of 1885 (AL031885) formed in the Gulf of Mexico on August 29, 1885. The system tracked northeastward during its lifetime. It reached peak intensity on August 30 with maximum sustained winds of 57 mph (50 kt). It made landfall near the northern Gulf Coast on August 30 with winds of 57 mph. The system persisted for approximately 3 days. The storm was tracked across 13 observations in the HURDAT2 database. The system dissipated over the western Atlantic off the U.S. East Coast on August 31.",0
AL041885,1885,9,September,UNNAMED,1885-09-17,1885-09-23,162,80,92,,1,Cat 1,1,0,2,29,"The unnamed storm of 1885 (AL041885) formed in the Gulf of Mexico on September 17, 1885. The system tracked northeastward during its lifetime. Over its lifetime, the storm traversed the Gulf of Mexico, the western Atlantic off the U.S. East Coast, the open Atlantic. It reached peak intensity as a Category 1 hurricane on September 23 with maximum sustained winds of 92 mph (80 kt). It made landfall near the northern Gulf Coast on September 21 with winds of 57 mph. It made landfall near the northern Gulf Coast on September 21 with winds of 57 mph. The system persisted for approximately 7 days. The storm was tracked across 29 observations in the HURDAT2 database. The system dissipated over the open Atlantic on September 23.",0
AL051885,1885,9,September,UNNAMED,1885-09-18,1885-09-21,90,70,80,999,1,Cat 1,1,0,0,16,"The unnamed storm of 1885 (AL051885) formed in the central Atlantic on September 18, 1885. The system tracked northward during its lifetime. It reached peak intensity as a Category 1 hurricane on September 19 with maximum sustained winds of 80 mph (70 kt). The minimum central pressure was recorded at 999 mb. The system persisted for approximately 4 days. The storm was tracked across 16 observations in the HURDAT2 database. The system dissipated over the central Atlantic on September 21.",0
AL061885,1885,9,September,UNNAMED,1885-09-24,1885-10-02,210,70,80,,1,Cat 1,1,0,1,37,"The unnamed storm of 1885 (AL061885) formed in the Gulf of Mexico on September 24, 1885. The system tracked northeastward during its lifetime. It reached peak intensity as a Category 1 hurricane on October 2 with maximum sustained winds of 80 mph (70 kt). It made landfall near the northern Gulf Coast on September 26 with winds of 69 mph. The system persisted for approximately 9 days. The storm was tracked across 37 observations in the HURDAT2 database. The system dissipated over the western Atlantic off the U.S. East Coast on October 2.",0
AL071885,1885,9,September,UNNAMED,1885-09-26,1885-09-29,90,80,92,,1,Cat 1,1,0,0,16,"The unnamed storm of 1885 (AL071885) formed in the central Atlantic on September 26, 1885. The system tracked northward during its lifetime. It reached peak intensity as a Category 1 hurricane on September 29 with maximum sustained winds of 92 mph (80 kt). The system persisted for approximately 4 days. The storm was tracked across 16 observations in the HURDAT2 database. The system dissipated over the open Atlantic on September 29.",0
AL081885,1885,10,October,UNNAMED,1885-10-10,1885-10-14,90,60,69,,0,TS,0,0,1,17,"The unnamed storm of 1885 (AL081885) formed in the Gulf of Mexico on October 10, 1885. The system tracked northward during its lifetime. It reached peak intensity on October 11 with maximum sustained winds of 69 mph (60 kt). It made landfall near the northern Gulf Coast on October 11 with winds of 69 mph. The system persisted for approximately 4 days. The storm was tracked across 17 observations in the HURDAT2 database. The system dissipated over the western Atlantic off the U.S. East Coast on October 14.",0
AL011886,1886,6,June,UNNAMED,1886-06-13,1886-06-15,60,85,97,,2,Cat 2,1,0,1,12,"The unnamed storm of 1886 (AL011886), an early-season storm, formed in the Gulf of Mexico on June 13, 1886. The system tracked northeastward during its lifetime. It reached peak intensity as a Category 2 hurricane on June 14 with maximum sustained winds of 97 mph (85 kt). It made landfall near the northern Gulf Coast on June 14 as a Category 2 hurricane with winds of 97 mph. The system persisted for approximately 2 days. The storm was tracked across 12 observations in the HURDAT2 database. The system dissipated over the open Atlantic on June 15.",0
AL021886,1886,6,June,UNNAMED,1886-06-17,1886-06-24,186,85,97,,2,Cat 2,1,0,1,33,"The unnamed storm of 1886 (AL021886), an early-season storm, formed in the Gulf of Mexico on June 17, 1886. The system tracked northeastward during its lifetime. Over its lifetime, the storm traversed the Gulf of Mexico, the open Atlantic, the western Atlantic off the U.S. East Coast. It reached peak intensity as a Category 2 hurricane on June 20 with maximum sustained winds of 97 mph (85 kt). It made landfall near the northern Gulf Coast on June 21 as a Category 2 hurricane with winds of 97 mph. The system persisted for approximately 8 days. The storm was tracked across 33 observations in the HURDAT2 database. The system dissipated over the open Atlantic on June 24.",0
AL031886,1886,6,June,UNNAMED,1886-06-27,1886-07-02,126,85,97,,2,Cat 2,1,0,1,23,"The unnamed storm of 1886 (AL031886), an early-season storm, formed in the Caribbean Sea on June 27, 1886. It initially tracked westward through the Atlantic before recurving northeastward. Over its lifetime, the storm traversed the Caribbean Sea, the Gulf of Mexico, the open Atlantic, the western Atlantic off the U.S. East Coast. It reached peak intensity as a Category 2 hurricane on June 30 with maximum sustained winds of 97 mph (85 kt). It made landfall near the northern Gulf Coast on June 30 as a Category 2 hurricane with winds of 97 mph. The system persisted for approximately 5 days. The storm was tracked across 23 observations in the HURDAT2 database. The system dissipated over the western Atlantic off the U.S. East Coast on July 2.",0
AL041886,1886,7,July,UNNAMED,1886-07-14,1886-07-24,252,75,86,990,1,Cat 1,1,0,1,44,"The unnamed storm of 1886 (AL041886) formed in the Gulf of Mexico on July 14, 1886. The system tracked northeastward during its lifetime. Over its lifetime, the storm traversed the Gulf of Mexico, the western Atlantic off the U.S. East Coast, the open Atlantic. It reached peak intensity as a Category 1 hurricane on July 20 with maximum sustained winds of 86 mph (75 kt). The minimum central pressure was recorded at 990 mb. It made landfall near the northern Gulf Coast on July 19 as a Category 1 hurricane with winds of 80 mph. The system persisted for approximately 10 days. The storm was tracked across 44 observations in the HURDAT2 database. The system dissipated over the open Atlantic on July 24.",0
AL051886,1886,8,August,UNNAMED,1886-08-12,1886-08-21,228,130,149,925,4,Cat 4,1,1,1,40,"The unnamed storm of 1886 (AL051886) formed in the central Atlantic on August 12, 1886. The system tracked northwestward during its lifetime. Over its lifetime, the storm traversed the central Atlantic, the Caribbean Sea, the western Atlantic, the Gulf of Mexico. The storm covered a vast area, spanning approximately 23 degrees of latitude. It reached peak intensity as a Category 4 hurricane on August 20 with maximum sustained winds of 149 mph (130 kt). The storm underwent rapid intensification, with winds increasing by at least 35 mph within a 24-hour period. The minimum central pressure was recorded at 925 mb. The system first reached hurricane strength on August 13 and continued to intensify over the following days. It made landfall near the northern Gulf Coast on August 20 as a Category 4 hurricane with winds of 149 mph. The storm gradually weakened to a tropical depression before dissipating. The system persisted for approximately 10 days. As a Category 4 hurricane, it possessed exceptionally dangerous winds capable of catastrophic damage. A minimum pressure of 925 mb reflected the storm's significant intensity. The storm was tracked across 40 observations in the HURDAT2 database. The system dissipated over the open Atlantic on August 21.",0
AL061886,1886,8,August,UNNAMED,1886-08-15,1886-08-27,306,105,120,,3,Cat 3,1,1,0,52,"The unnamed storm of 1886 (AL061886) formed in the central Atlantic on August 15, 1886. It initially tracked westward through the Atlantic before recurving northeastward. Over its lifetime, the storm traversed the central Atlantic, the Caribbean Sea, the western Atlantic, the western Atlantic off the U.S. East Coast. The storm covered a vast area, spanning approximately 31 degrees of latitude. It reached peak intensity as a Category 3 hurricane on August 21 with maximum sustained winds of 120 mph (105 kt). The storm underwent rapid intensification, with winds increasing by at least 35 mph within a 24-hour period. The system first reached hurricane strength on August 15 and continued to intensify over the following days. The storm remained over open water and did not make landfall. The system persisted for approximately 13 days. With a duration of approximately 13 days, it was a notably long-lived storm. The storm was tracked across 52 observations in the HURDAT2 database. The system dissipated over the open Atlantic on August 27.",0
AL071886,1886,8,August,UNNAMED,1886-08-20,1886-08-25,126,100,115,,3,Cat 3,1,1,0,22,"The unnamed storm of 1886 (AL071886) formed in the western Atlantic off the U.S. East Coast on August 20, 1886. The system tracked eastward during its lifetime. Over its lifetime, the storm traversed the western Atlantic off the U.S. East Coast, the central Atlantic, the open Atlantic. The storm covered a vast area, spanning approximately 19 degrees of latitude. It reached peak intensity as a Category 3 hurricane on August 21 with maximum sustained winds of 115 mph (100 kt). The storm underwent rapid intensification, with winds increasing by at least 35 mph within a 24-hour period. The storm remained over open water and did not make landfall. The system eventually weakened and transitioned into an extratropical cyclone. The system persisted for approximately 5 days. The storm was tracked across 22 observations in the HURDAT2 database. The system dissipated over the open Atlantic on August 25.",0
AL081886,1886,9,September,UNNAMED,1886-09-16,1886-09-24,210,85,97,,2,Cat 2,1,0,0,36,"The unnamed storm of 1886 (AL081886) formed in the Caribbean Sea on September 16, 1886. The system tracked westward during its lifetime. It reached peak intensity as a Category 2 hurricane on September 21 with maximum sustained winds of 97 mph (85 kt). The system persisted for approximately 9 days. The storm was tracked across 36 observations in the HURDAT2 database. The system dissipated over the Gulf of Mexico on September 24.",0
AL091886,1886,9,September,UNNAMED,1886-09-22,1886-09-30,210,85,97,,2,Cat 2,1,0,0,36,"The unnamed storm of 1886 (AL091886) formed in the western Atlantic on September 22, 1886. The system tracked northward during its lifetime. Over its lifetime, the storm traversed the western Atlantic, the western Atlantic off the U.S. East Coast, the central Atlantic. It reached peak intensity as a Category 2 hurricane on September 24 with maximum sustained winds of 97 mph (85 kt). The system persisted for approximately 9 days. The storm was tracked across 36 observations in the HURDAT2 database. The system dissipated over the western Atlantic off the U.S. East Coast on September 30.",0
AL101886,1886,10,October,UNNAMED,1886-10-08,1886-10-13,138,105,120,,3,Cat 3,1,1,1,25,"The unnamed storm of 1886 (AL101886) formed in the Gulf of Mexico on October 8, 1886. The system tracked northwestward during its lifetime. It reached peak intensity as a Category 3 hurricane on October 12 with maximum sustained winds of 120 mph (105 kt). The system first reached hurricane strength on October 8 and continued to intensify over the following days. It made landfall near the northern Gulf Coast on October 12 as a Category 3 hurricane with winds of 120 mph. The system persisted for approximately 6 days. The storm was tracked across 25 observations in the HURDAT2 database. The system dissipated over the open Atlantic on October 13.",0
AL111886,1886,10,October,UNNAMED,1886-10-10,1886-10-15,138,45,51,,0,TS,0,0,0,24,"The unnamed storm of 1886 (AL111886) formed in the central Atlantic on October 10, 1886. The system tracked eastward during its lifetime. It reached peak intensity on October 13 with maximum sustained winds of 51 mph (45 kt). The system persisted for approximately 6 days. The storm was tracked across 24 observations in the HURDAT2 database. The system dissipated over the central Atlantic on October 15.",0
AL121886,1886,10,October,UNNAMED,1886-10-21,1886-10-26,120,60,69,,0,TS,0,0,0,21,"The unnamed storm of 1886 (AL121886) formed in the Caribbean Sea on October 21, 1886. The system tracked northeastward during its lifetime. Over its lifetime, the storm traversed the Caribbean Sea, the western Atlantic, the western Atlantic off the U.S. East Coast, the central Atlantic. It reached peak intensity on October 23 with maximum sustained winds of 69 mph (60 kt). The system persisted for approximately 5 days. The storm was tracked across 21 observations in the HURDAT2 database. The system dissipated over the central Atlantic on October 26.",0
AL011887,1887,5,May,UNNAMED,1887-05-15,1887-05-20,126,60,69,,0,TS,0,0,0,22,"The unnamed storm of 1887 (AL011887), an unusual off-season system, formed in the central Atlantic on May 15, 1887. The system tracked northward during its lifetime. Over its lifetime, the storm traversed the central Atlantic, the western Atlantic off the U.S. East Coast, the open Atlantic. It reached peak intensity on May 16 with maximum sustained winds of 69 mph (60 kt). The system persisted for approximately 5 days. The storm was tracked across 22 observations in the HURDAT2 database. The system dissipated over the open Atlantic on May 20.",0
AL021887,1887,5,May,UNNAMED,1887-05-17,1887-05-21,114,50,57,,0,TS,0,0,0,20,"The unnamed storm of 1887 (AL021887), an unusual off-season system, formed in the Caribbean Sea on May 17, 1887. The system tracked northeastward during its lifetime. It reached peak intensity on May 18 with maximum sustained winds of 57 mph (50 kt). The system persisted for approximately 5 days. The storm was tracked across 20 observations in the HURDAT2 database. The system dissipated over the western Atlantic off the U.S. East Coast on May 21.",0
AL031887,1887,6,June,UNNAMED,1887-06-11,1887-06-14,78,35,40,,0,TS,0,0,1,15,"The unnamed storm of 1887 (AL031887), an early-season storm, formed in the Gulf of Mexico on June 11, 1887. The system tracked northwestward during its lifetime. It reached peak intensity on June 12 with maximum sustained winds of 40 mph (35 kt). It made landfall near the northern Gulf Coast on June 14 with winds of 40 mph. The system persisted for approximately 3 days. The storm was tracked across 15 observations in the HURDAT2 database. The system dissipated over the open Atlantic on June 14.",0
AL041887,1887,7,July,UNNAMED,1887-07-20,1887-07-28,210,85,97,,2,Cat 2,1,0,1,37,"The unnamed storm of 1887 (AL041887) formed in the central Atlantic on July 20, 1887. The system tracked northwestward during its lifetime. Over its lifetime, the storm traversed the central Atlantic, the Caribbean Sea, the Gulf of Mexico, the open Atlantic. It reached peak intensity as a Category 2 hurricane on July 22 with maximum sustained winds of 97 mph (85 kt). It made landfall near the northern Gulf Coast on July 27 as a Category 1 hurricane with winds of 86 mph. The system persisted for approximately 9 days. The storm was tracked across 37 observations in the HURDAT2 database. The system dissipated over the open Atlantic on July 28.",0
AL051887,1887,7,July,UNNAMED,1887-07-30,1887-08-08,210,50,57,,0,TS,0,0,0,36,"The unnamed storm of 1887 (AL051887) formed in the open Atlantic on July 30, 1887. The system tracked westward during its lifetime. Over its lifetime, the storm traversed the open Atlantic, the central Atlantic, the Caribbean Sea, the Gulf of Mexico. It reached peak intensity on August 2 with maximum sustained winds of 57 mph (50 kt). The system persisted for approximately 9 days. The storm was tracked across 36 observations in the HURDAT2 database. The system dissipated over the Gulf of Mexico on August 8.",0
AL061887,1887,8,August,UNNAMED,1887-08-14,1887-08-23,222,105,120,972,3,Cat 3,1,1,0,38,"The unnamed storm of 1887 (AL061887) formed in the central Atlantic on August 14, 1887. It initially tracked westward through the Atlantic before recurving northeastward. Over its lifetime, the storm traversed the central Atlantic, the Caribbean Sea, the western Atlantic, the western Atlantic off the U.S. East Coast. The storm covered a vast area, spanning approximately 34 degrees of latitude. It reached peak intensity as a Category 3 hurricane on August 20 with maximum sustained winds of 120 mph (105 kt). The minimum central pressure was recorded at 972 mb. The system first reached hurricane strength on August 17 and continued to intensify over the following days. The storm remained over open water and did not make landfall. The system eventually weakened and transitioned into an extratropical cyclone. The system persisted for approximately 9 days. The storm was tracked across 38 observations in the HURDAT2 database. The system dissipated over the open Atlantic on August 23.",0
AL071887,1887,8,August,UNNAMED,1887-08-18,1887-08-27,228,110,126,,3,Cat 3,1,1,0,39,"The unnamed storm of 1887 (AL071887) formed in the Caribbean Sea on August 18, 1887. It initially tracked westward through the Atlantic before recurving northeastward. Over its lifetime, the storm traversed the Caribbean Sea, the western Atlantic, the western Atlantic off the U.S. East Coast, the open Atlantic. The storm covered a vast area, spanning approximately 33 degrees of latitude. It reached peak intensity as a Category 3 hurricane on August 22 with maximum sustained winds of 126 mph (110 kt). The storm underwent rapid intensification, with winds increasing by at least 35 mph within a 24-hour period. The system first reached hurricane strength on August 21 and continued to intensify over the following days. The storm remained over open water and did not make landfall. The system eventually weakened and transitioned into an extratropical cyclone. The system persisted for approximately 10 days. The storm was tracked across 39 observations in the HURDAT2 database. The system dissipated over the open Atlantic on August 27.",0
AL081887,1887,9,September,UNNAMED,1887-09-01,1887-09-06,132,90,103,963,2,Cat 2,1,0,0,23,"The unnamed storm of 1887 (AL081887) formed in the central Atlantic on September 1, 1887. The system tracked northeastward during its lifetime. It reached peak intensity as a Category 2 hurricane on September 3 with maximum sustained winds of 103 mph (90 kt). The minimum central pressure was recorded at 963 mb. The system persisted for approximately 6 days. The storm was tracked across 23 observations in the HURDAT2 database. The system dissipated over the open Atlantic on September 6.",0
